epoch,accuracy,loss,val_accuracy,val_loss
0,0.9308857321739197,0.1527039110660553,0.9959958791732788,0.011358203366398811
1,0.9968888759613037,0.009446750394999981,0.997056245803833,0.007969300262629986
2,0.9975844025611877,0.006615915335714817,0.997245728969574,0.007615269627422094
3,0.9978436827659607,0.005662649869918823,0.9937477707862854,0.019298633560538292
4,0.9974754452705383,0.007100155111402273,0.997509777545929,0.00623686658218503
5,0.9980612993240356,0.004967228509485722,0.9978100061416626,0.005240781232714653
6,0.9981840252876282,0.00464594317600131,0.997948944568634,0.0049607721157372
7,0.9984372854232788,0.003987340722233057,0.9980633854866028,0.004514594562351704
8,0.998498797416687,0.0037733304779976606,0.9982801079750061,0.004514710977673531
9,0.9986293911933899,0.003489007940515876,0.998265266418457,0.004197984468191862
10,0.9987006783485413,0.0032565477304160595,0.998672604560852,0.0034369973000139
11,0.9988706707954407,0.0028123666997998953,0.9986642003059387,0.0032438570633530617
12,0.9988687634468079,0.0028125070966780186,0.9988375902175903,0.0028978532645851374
13,0.9988394975662231,0.002858311403542757,0.9985876083374023,0.0035380865447223186
14,0.9988651871681213,0.002815981162711978,0.9986347556114197,0.003256596624851227
15,0.9990196228027344,0.0024176014121621847,0.998897910118103,0.002664049854502082
16,0.9989917874336243,0.0024685454554855824,0.9990065097808838,0.002486090175807476
17,0.9991052746772766,0.0022284567821770906,0.999015748500824,0.0024570864625275135
18,0.9991480112075806,0.0021133364643901587,0.9990372061729431,0.0023786176461726427
19,0.9991508722305298,0.002096316311508417,0.9991030693054199,0.0022456804290413857
20,0.9990589022636414,0.0023211499210447073,0.998885452747345,0.0026972813066095114
21,0.9991000294685364,0.002237599343061447,0.9988307952880859,0.0028127061668783426
22,0.9989792108535767,0.0025021915789693594,0.9990599155426025,0.002326403511688113
23,0.9991815090179443,0.002020859392359853,0.999000072479248,0.0024423024151474237
24,0.9991241097450256,0.0021588702220469713,0.9983963370323181,0.0037507405504584312
25,0.9991106390953064,0.0021782710682600737,0.9991583228111267,0.002088205423206091
26,0.9991646409034729,0.0020628594793379307,0.9991136789321899,0.002203702460974455
27,0.9992255568504333,0.0019052076386287808,0.9992009997367859,0.0019744141027331352
28,0.9992924928665161,0.001753062941133976,0.9991289973258972,0.002145795850083232
29,0.9989506602287292,0.0025945755187422037,0.999139130115509,0.0021800599060952663
30,0.9992717504501343,0.001829904387705028,0.9992096424102783,0.0019587937276810408
31,0.999264657497406,0.0018078505527228117,0.9990163445472717,0.002415202558040619
32,0.9992420673370361,0.0018485462060198188,0.9991624355316162,0.0020984113216400146
33,0.999315083026886,0.0016915323212742805,0.9991809725761414,0.001975179649889469
34,0.9993411302566528,0.0016264893347397447,0.9992110133171082,0.0018969333032146096
35,0.9993776082992554,0.001536138472147286,0.9992697238922119,0.0018024181481450796
36,0.9992777109146118,0.001769237220287323,0.9985948204994202,0.003457613755017519
37,0.99895179271698,0.002711390145123005,0.9990538954734802,0.0022534294985234737
38,0.9992417693138123,0.0018834075890481472,0.9990936517715454,0.0022140503861010075
39,0.9992817640304565,0.0017641478916630149,0.9981790781021118,0.0047541894018650055
40,0.9990789890289307,0.002237496431916952,0.9989651441574097,0.002383775543421507
41,0.9992978572845459,0.0017238062573596835,0.9993079304695129,0.001756116165779531
42,0.9993801116943359,0.0015408570179715753,0.9993073344230652,0.0017228774959221482
43,0.9994070529937744,0.0014714635908603668,0.9993189573287964,0.001703788759186864
44,0.9993887543678284,0.0014992572832852602,0.9993032217025757,0.0017193593084812164
45,0.9994212985038757,0.0014325759839266539,0.9992440342903137,0.001833087531849742
46,0.999363362789154,0.0015628151595592499,0.9993261694908142,0.0016852529952302575
47,0.9993643164634705,0.0015600976767018437,0.9993298053741455,0.001701001776382327
48,0.9994187951087952,0.001433970290236175,0.9993423819541931,0.001643099938519299
49,0.9994186162948608,0.0014278874732553959,0.9992333650588989,0.0019228626042604446
